estrategia,tipo,sharpe,ci_lo,ci_hi,skew,kurt,sr_star,dsr,T,nota
equal_weight,serie_diaria,0.052492721900110284,-0.003225849931062447,0.1145339587993982,-0.28955492267682215,5.2538412689294525,0.06975769982473227,0.2939455241671067,1004,reconstruida de datos
momentum_20d,serie_diaria,0.07705807203217414,0.008692844730052553,0.14075363990547832,-0.024260762350433326,5.228488031073805,0.0694494828792955,0.5947845256904895,1003,reconstruida de datos
A,aprox_normal_declarada,0.0334120427966962,,,0.0,3.0,0.06172332830296448,0.1576238040718142,1260,serie diaria no registrada
D,aprox_normal_declarada,0.013920960523840217,,,0.0,3.0,0.061709098559264874,0.04498507344840175,1260,serie diaria no registrada
R,aprox_normal_declarada,0.05193494224812354,,,0.0,3.0,0.06174770407631429,0.3639404824345633,1260,serie diaria no registrada
