asset_coverage,campaign_id,candidate_hit_rate,model,precision_per_visited,recall_proxy,seed,topm_hit_rate
1.0,campaign_1,1.0,A,0.20952380952380953,0.5,42,0.20952380952380953
1.0,campaign_1,1.0,A,0.22063492063492063,0.5,123,0.22063492063492063
1.0,campaign_1,1.0,A,0.20238095238095238,0.5,456,0.20238095238095238
1.0,campaign_1,1.0,A,0.1984126984126984,0.5,789,0.1984126984126984
1.0,campaign_1,1.0,A,0.21825396825396826,0.5,1024,0.21825396825396826
1.0,campaign_1,1.0,B,0.20952380952380953,0.5,42,0.20952380952380953
1.0,campaign_1,1.0,B,0.22063492063492063,0.5,123,0.22063492063492063
1.0,campaign_1,1.0,B,0.20238095238095238,0.5,456,0.20238095238095238
1.0,campaign_1,1.0,B,0.1984126984126984,0.5,789,0.1984126984126984
1.0,campaign_1,1.0,B,0.21825396825396826,0.5,1024,0.21825396825396826
0.9333333333333333,campaign_1,0.5007936507936508,C,0.19982993197278912,0.2503968253968254,42,0.1865079365079365
0.9333333333333333,campaign_1,0.5142857142857142,C,0.2066326530612245,0.2571428571428571,123,0.19285714285714287
0.9333333333333333,campaign_1,0.5142857142857142,C,0.2304421768707483,0.2571428571428571,456,0.2150793650793651
0.9333333333333333,campaign_1,0.5158730158730159,C,0.1913265306122449,0.25793650793650796,789,0.17857142857142858
0.9333333333333333,campaign_1,0.5079365079365079,C,0.22023809523809523,0.25396825396825395,1024,0.20555555555555555
0.8666666666666667,campaign_1,0.4928571428571429,D,0.2518315018315018,0.24642857142857144,42,0.21825396825396826
0.8666666666666667,campaign_1,0.5047619047619047,D,0.2445054945054945,0.2523809523809524,123,0.2119047619047619
0.8666666666666667,campaign_1,0.5015873015873016,D,0.23626373626373626,0.2507936507936508,456,0.20476190476190476
0.8666666666666667,campaign_1,0.5015873015873016,D,0.20787545787545786,0.2507936507936508,789,0.18015873015873016
0.9333333333333333,campaign_1,0.5,D,0.2040816326530612,0.25,1024,0.19047619047619047
