campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,tag
v8_review3_Dcentered,D,42,nivel2,50000,0.9257907344491193,0.05062367245923901,0.2133615268019814,0.18515814688982393,0.9666666666666667,0.21666666666666667,0.473015873015873,4.0,1.290869444011829,19.0,0.2860997269781724,0.20148173533737054,50000,2026-08-04T01:17:43Z,101.50484579999465,Dcentered
v8_review3_Dcentered,D,123,nivel2,50000,0.7136708746660219,0.0387238610848098,0.2734300265139105,0.14273417493320437,0.9666666666666667,0.1984126984126984,0.48253968253968255,17.0,1.2949079357823061,21.0,0.35139346979085406,0.26429810153949174,50000,2026-08-04T01:19:15Z,91.10404619999463,Dcentered
v8_review3_Dcentered,D,456,nivel2,50000,0.7430047742138517,0.040835414906779235,0.26628572799307626,0.1486009548427703,0.9333333333333333,0.22698412698412698,0.48333333333333334,11.0,1.1158430955782976,19.0,0.3817167941450763,0.23493665991028664,50000,2026-08-04T01:20:52Z,96.79854930000147,Dcentered
v8_review3_Dcentered,D,789,nivel2,50000,-0.15300068486354496,-0.008218777356789938,0.536145756208458,-0.03060013697270898,0.9666666666666667,0.1865079365079365,0.48174603174603176,3.0,1.4774721433659868,22.0,0.4164366188640357,0.20067424798568612,50000,2026-08-04T01:22:31Z,99.26921860000584,Dcentered
v8_review3_Dcentered,D,1024,nivel2,50000,0.352941564488496,0.0195155066182023,0.43350226351973437,0.07058831289769926,0.9,0.22380952380952382,0.476984126984127,1.0,0.9135416673315275,-1.0,0.4977501394614393,0.24093966188549654,50000,2026-08-04T01:24:20Z,108.27801280003041,Dcentered
v8_review3_Dcentered,D,7,nivel2,50000,0.0862548138905582,0.004910302145614205,0.353324977021906,0.017250962778111657,0.9666666666666667,0.18253968253968253,0.4738095238095238,4.0,1.4513409521434426,20.0,0.4114731431547985,0.24709871759468746,50000,2026-08-04T01:26:01Z,100.7224833999644,Dcentered
v8_review3_Dcentered,D,99,nivel2,50000,0.48675263009773395,0.028303231884829652,0.4327123189060441,0.09735052601954684,0.9666666666666667,0.21031746031746032,0.4753968253968254,5.0,1.3693409529329825,11.0,0.266036523787382,0.22408290254345253,50000,2026-08-04T01:27:44Z,102.88754880003398,Dcentered
v8_review3_Dcentered,D,314,nivel2,50000,0.6631342842271338,0.035128493164918576,0.24198369408911014,0.13262685684542674,0.9666666666666667,0.2119047619047619,0.4777777777777778,9.0,1.3464808736148008,18.0,0.35635548981275134,0.22137575505949672,50000,2026-08-04T01:29:19Z,94.6335133999819,Dcentered
v8_review3_Dcentered,D,1729,nivel2,50000,-0.20277753183263927,-0.012221662660494534,0.41588582551525155,-0.040555506366527855,0.9,0.18412698412698414,0.4658730158730159,20.0,1.3121204769482748,22.0,0.4108754717977978,0.26237498948348276,50000,2026-08-04T01:30:50Z,90.4787728000083,Dcentered
v8_review3_Dcentered,D,65535,nivel2,50000,0.12489835880486905,0.00701211414628863,0.474657114283977,0.024979671760973814,0.9333333333333333,0.20238095238095238,0.4746031746031746,4.0,1.422903412631491,-1.0,0.5316450446002838,0.25452639447885217,50000,2026-08-04T01:32:20Z,89.8044526000158,Dcentered
v8_review3_C_cost5bp,C,42,nivel2,50000,0.4162517597112481,0.02304474782994717,0.2702170227634082,0.08325035194224965,0.9,0.18888888888888888,0.41984126984126985,7.0,0.9583261119948315,-1.0,0.3200616546733785,0.14844850625162778,50000,2026-08-04T01:33:32Z,71.58251059998292,C_cost5bp
v8_review3_C_cost5bp,C,123,nivel2,50000,0.5211331297796897,0.029057749040370576,0.26038949479139484,0.10422662595593794,0.9,0.1880952380952381,0.43333333333333335,1.0,0.9857528565344327,22.0,0.24339947861512073,0.23524753149868244,50000,2026-08-04T01:34:48Z,75.51482620002935,C_cost5bp
v8_review3_C_cost5bp,C,456,nivel2,50000,0.7887028524318425,0.04403167662036763,0.24527375289442216,0.15774057048636841,0.9,0.1984126984126984,0.4365079365079365,8.0,0.9663663492242377,20.0,0.30315989663559867,0.2132401365988809,50000,2026-08-04T01:36:01Z,72.60164300003089,C_cost5bp
v8_review3_C_cost5bp,C,789,nivel2,50000,-0.18063487822920557,-0.009918835807284955,0.4825639692814182,-0.03612697564584117,0.9,0.1619047619047619,0.4365079365079365,15.0,0.895247381043783,-1.0,0.4341736230938653,0.16444437838499926,50000,2026-08-04T01:37:14Z,72.42933750001248,C_cost5bp
v8_review3_C_cost5bp,C,1024,nivel2,50000,0.8755275360505228,0.04987448300574082,0.1804361750511179,0.1751055072101045,0.9,0.20555555555555555,0.43333333333333335,8.0,0.9891528583553043,18.0,0.42757760388598676,0.17039857145277681,50000,2026-08-04T01:38:24Z,70.21468899998581,C_cost5bp
v8_review3_C_cost5bp,C,7,nivel2,50000,-0.6489689728203496,-0.03698324332758993,0.791873585463042,-0.12979379456406992,0.9,0.17777777777777778,0.42142857142857143,4.0,0.9841530958452956,-1.0,0.45273408629299444,0.20193363178588558,50000,2026-08-04T01:39:41Z,76.4418558999896,C_cost5bp
v8_review3_C_cost5bp,C,99,nivel2,50000,0.19359325708014585,0.010513275406744352,0.3787669259511419,0.03871865141602912,0.9,0.18095238095238095,0.43412698412698414,6.0,0.9805695228149287,-1.0,0.3006108026305986,0.14758302812396074,50000,2026-08-04T01:41:01Z,79.80098319996614,C_cost5bp
v8_review3_C_cost5bp,C,314,nivel2,50000,0.7738226796110795,0.040222492080491404,0.31082354217456454,0.15476453592221584,0.9,0.19603174603174603,0.43253968253968256,1.0,1.012540555379856,18.0,0.2961081353602936,0.1827680761398836,50000,2026-08-04T01:42:20Z,78.77603599999566,C_cost5bp
v8_review3_C_cost5bp,C,1729,nivel2,50000,0.4777243894542361,0.02538826811602479,0.37522997269916236,0.09554487789084717,0.9,0.1634920634920635,0.4166666666666667,1.0,1.0162139685162979,-1.0,0.3436880519154395,0.18125567320924107,50000,2026-08-04T01:43:44Z,83.85901539999759,C_cost5bp
v8_review3_C_cost5bp,C,65535,nivel2,50000,1.0734557450866755,0.06296274074473857,0.20060202133395455,0.2146911490173351,0.9,0.18571428571428572,0.42936507936507934,4.0,1.09099722277957,-1.0,0.43075431751705817,0.20906175345535352,50000,2026-08-04T01:45:05Z,80.02904110000236,C_cost5bp
