campaign_id,model,beta_bias,seed,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,mean_latency_ms,episodes_to_convergence,duration_seconds
v8_exp6,softD,0.5,42,50000,0.5387362887397026,0.027657022385441304,0.29218564691746984,0.10774725774794063,1.0,0.20634920634920634,0.7793650793650794,1.1926620634688059,inf,85.10864000000038
v8_exp6,softC,0.5,42,50000,0.37981911182660255,0.020867684368397154,0.3512438506171028,0.07596382236532048,0.9666666666666667,0.22857142857142856,0.7793650793650794,0.9424900793679366,inf,69.53832460000012
v8_exp6,softR,0.5,42,50000,0.3844186939808943,0.01921344248118299,0.3725225504573688,0.07688373879617891,1.0,0.20634920634920634,0.7793650793650794,0.93308849205598,18.0,69.51855400000022
v8_exp6,softD,0.5,123,50000,0.8006564732755181,0.04155413176054997,0.37062140775793095,0.16013129465510362,1.0,0.18571428571428572,0.7880952380952381,1.2159557936517977,9.0,85.58735999999953
v8_exp6,softC,0.5,123,50000,0.580302140804789,0.02870911118685215,0.30228781765327317,0.11606042816095781,1.0,0.1984126984126984,0.7880952380952381,0.9411142857184059,12.0,69.67288419999932
v8_exp6,softR,0.5,123,50000,1.1422209972060076,0.05735610809123707,0.261510556775314,0.2284441994412015,1.0,0.2007936507936508,0.7880952380952381,0.9082192857072692,inf,68.28217550000045
v8_exp6,softD,0.5,456,50000,1.643851916564634,0.09030291855641667,0.2543026965727194,0.32877038331292685,0.9666666666666667,0.20238095238095238,0.7865079365079365,1.2913840476220872,14.0,89.47712369999954
v8_exp6,softC,0.5,456,50000,0.7795007253030707,0.03736107451541802,0.2645025725049329,0.15590014506061411,0.9666666666666667,0.176984126984127,0.7865079365079365,0.6123860317500889,14.0,46.32949319999989
v8_exp6,softR,0.5,456,50000,0.37727424645794244,0.018399636404377872,0.3220156400392995,0.07545484929158844,0.9666666666666667,0.1746031746031746,0.7865079365079365,0.6130031745749239,inf,45.85562789999949
v8_exp6,softD,0.5,789,50000,0.10676252484776827,0.0057320601728676375,0.6516178982985292,0.021352504969553678,0.9666666666666667,0.1595238095238095,0.7833333333333333,0.818307460300304,17.0,56.75518840000041
v8_exp6,softC,0.5,789,50000,0.7399167423006058,0.03962928649094505,0.30344144406221024,0.14798334846012123,0.9666666666666667,0.16904761904761906,0.7833333333333333,0.7022886507889953,18.0,46.09563890000027
v8_exp6,softR,0.5,789,50000,-0.0554802217493606,-0.003048372891275709,0.5736222007546476,-0.011096044349872086,0.9666666666666667,0.1484126984126984,0.7833333333333333,0.6569338095311924,18.0,47.718516799999634
v8_exp6,softD,0.5,1024,50000,0.46305257102071706,0.022715659384450592,0.2712445062738713,0.09261051420414342,0.9666666666666667,0.19523809523809524,0.7841269841269841,0.8805056349429501,inf,60.13542300000063
v8_exp6,softC,0.5,1024,50000,0.11186602826516232,0.005738374517201425,0.38972807122831543,0.02237320565303254,0.9666666666666667,0.2,0.7841269841269841,0.6101848412750798,inf,49.677813100000094
v8_exp6,softR,0.5,1024,50000,0.023026727796250257,0.0011646897594496134,0.41665671961921186,0.004605345559250074,1.0,0.18571428571428572,0.7841269841269841,0.5899504761867912,20.0,45.85085439999966
v8_exp6,softD,0.5,7,50000,0.3787726242686486,0.021093187810745317,0.39313565084181196,0.07575452485372966,0.9666666666666667,0.17063492063492064,0.7793650793650794,0.823967539663355,inf,58.970380800000385
v8_exp6,softC,0.5,7,50000,0.410254023030566,0.02242403852087433,0.4320556354035153,0.08205080460611322,0.9666666666666667,0.20793650793650795,0.7793650793650794,0.7083769047514781,18.0,48.341981900000064
v8_exp6,softR,0.5,7,50000,0.2636802927975243,0.01327479997642705,0.29292943322206666,0.05273605855950484,1.0,0.18015873015873016,0.7793650793650794,0.8652830158762443,inf,56.917570100000376
v8_exp6,softD,0.5,99,50000,0.9851984334791747,0.052142395462129905,0.26060630814405095,0.19703968669583505,1.0,0.18253968253968253,0.7833333333333333,1.114426904754625,12.0,78.70962789999976
v8_exp6,softC,0.5,99,50000,0.576295614939309,0.033000120777943495,0.2856559183040235,0.11525912298786192,1.0,0.19603174603174603,0.7833333333333333,0.9169007936475643,14.0,67.35068709999996
v8_exp6,softR,0.5,99,50000,0.9643771785877949,0.04791200865382809,0.3063212913575331,0.19287543571755897,1.0,0.176984126984127,0.7833333333333333,0.9012892857126211,14.0,69.44799570000032
v8_exp6,softD,0.5,314,50000,1.1711112731101923,0.056818653128871674,0.22218038435576493,0.23422225462203836,1.0,0.17857142857142858,0.7825396825396825,1.188023492066725,inf,88.73354540000037
v8_exp6,softC,0.5,314,50000,1.0534927660951638,0.05112365781254996,0.2530811759270342,0.2106985532190328,1.0,0.18333333333333332,0.7825396825396825,0.9149011111167922,inf,67.10428630000024
v8_exp6,softR,0.5,314,50000,0.8758983543059893,0.042785367423423364,0.33848851394757773,0.17517967086119782,1.0,0.18492063492063493,0.7825396825396825,0.9287679365216819,inf,64.0164119000001
v8_exp6,softD,0.5,1729,50000,0.16142905010231656,0.008092721294287345,0.3942161626182426,0.03228581002046328,1.0,0.14126984126984127,0.776984126984127,1.1140385714302934,20.0,80.88048650000019
v8_exp6,softC,0.5,1729,50000,0.4136135398553632,0.022534561815356232,0.46947259782754114,0.08272270797107265,0.9666666666666667,0.16984126984126985,0.776984126984127,0.9476340476152155,inf,65.41366239999934
v8_exp6,softR,0.5,1729,50000,-0.21043383980346592,-0.010681826309685198,0.5288424583247932,-0.04208676796069318,1.0,0.15317460317460319,0.776984126984127,0.8536684920648167,13.0,64.06689519999964
v8_exp6,softD,0.5,65535,50000,0.5158824406052394,0.026076301580982345,0.44063788129698556,0.10317648812104785,1.0,0.17222222222222222,0.7833333333333333,1.0835169841357128,12.0,84.15605009999945
v8_exp6,softC,0.5,65535,50000,1.4498494219317473,0.07794144156714235,0.27960495397724255,0.2899698843863495,1.0,0.176984126984127,0.7833333333333333,0.949251111116956,12.0,62.33963369999947
v8_exp6,softR,0.5,65535,50000,0.6361013520948042,0.03221861108669955,0.28389242032584494,0.1272202704189608,1.0,0.17142857142857143,0.7833333333333333,0.8906266666765569,inf,71.32736030000069
