campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,variant
variant_Q_v6,Q,42,nivel2,50000,1.0055807645923576,0.05466015327251519,0.1528477898036265,0.2011161529184715,0.9666666666666667,0.1746031746031746,0.3817460317460317,7.0,0.9748574604080724,22.0,0.3475516950451324,0.21289240328935402,50000,2026-06-10T01:19:57Z,67.0914775999845,Q
variant_Q_v6,Q,123,nivel2,50000,1.1824966912152621,0.06741422061137207,0.15657819931271844,0.23649933824305247,0.9666666666666667,0.1595238095238095,0.3904761904761905,1.0,1.0337978578588394,19.0,0.34115240888215753,0.24931470777919834,50000,2026-06-10T01:21:10Z,72.76205620000837,Q
variant_Q_v6,Q,456,nivel2,50000,-0.08712565479124779,-0.004825447776465661,0.554122632880022,-0.0174251309582496,0.9666666666666667,0.15634920634920635,0.39365079365079364,8.0,0.9911188097681761,-1.0,0.32955223459288696,0.2184359959460654,50000,2026-06-10T01:22:19Z,68.58450150000863,Q
variant_Q_v6,Q,789,nivel2,50000,0.20026959119936685,0.010807074346939671,0.5109750806358029,0.040053918239873317,1.0,0.16031746031746033,0.39365079365079364,27.0,1.0264823802456717,22.0,0.42114996187216747,0.24477253254566936,50000,2026-06-10T01:23:26Z,67.16082560000359,Q
variant_Q_v6,Q,1024,nivel2,50000,0.4152136608817192,0.023087236637558243,0.21450490109263715,0.08304273217634377,1.0,0.1523809523809524,0.39126984126984127,1.0,1.045007935825861,20.0,0.40412653720448244,0.22141733021754612,50000,2026-06-10T01:24:26Z,59.194572599983076,Q
variant_Q_v6,Q,7,nivel2,50000,-0.24741882801670922,-0.01267745027208651,0.4508824898974244,-0.04948376560334181,0.9666666666666667,0.1595238095238095,0.38571428571428573,4.0,1.0404357940026943,21.0,0.37086676011251263,0.2262558481395223,50000,2026-06-10T01:25:36Z,70.24241730000358,Q
variant_Q_v6,Q,99,nivel2,50000,1.135500985234108,0.06341263165120745,0.1925756785420184,0.2271001970468216,0.9666666666666667,0.18015873015873016,0.39365079365079364,6.0,1.0042267460477656,17.0,0.3824918349580805,0.25946051044297375,50000,2026-06-10T01:26:43Z,66.87818910001079,Q
variant_Q_v6,Q,314,nivel2,50000,1.9345602779750637,0.10289668257441234,0.1593505235783912,0.38691205559501285,0.9,0.17857142857142858,0.3904761904761905,1.0,0.8912951594481008,-1.0,0.3667024636684665,0.22177384457403623,50000,2026-06-10T01:27:50Z,66.26430979999714,Q
variant_Q_v6,Q,1729,nivel2,50000,-0.1673248633146817,-0.00885156822678963,0.38580106282111076,-0.03346497266293634,0.9333333333333333,0.13095238095238096,0.37936507936507935,6.0,1.0187706355022133,19.0,0.47303026265410747,0.2979045969550294,50000,2026-06-10T01:28:54Z,63.467083399998955,Q
variant_Q_v6,Q,65535,nivel2,50000,0.7385896007494488,0.03868811982168464,0.3422366154458057,0.1477179201498898,0.9333333333333333,0.1619047619047619,0.3888888888888889,4.0,0.9514407941929272,17.0,0.4483058513304076,0.21263202405290907,50000,2026-06-10T01:29:55Z,60.812750100012636,Q
