selector,mi_nats,mi_null_mean,p_perm,ci_lo,ci_hi,n_pairs
D,9.617761353074613e-05,0.00017963827057054067,0.538,8.328074019850536e-05,0.00015268184989050682,377940
C,0.00021906150053587267,0.0001921037124932955,0.324,0.00020329644222003238,0.0002714217712800704,377940
R,6.960842516261e-05,6.785268124562544e-05,0.352,6.266943682262609e-05,0.00011361745268390893,377940
Q,0.0006541007185447994,0.00022929388353688137,0.11,0.0006471664611547964,0.0006876062882028465,377940
S0_0,0.00034588069405001555,0.00010583323025411473,0.062,0.0002842668487728001,0.00047592844747862086,377940
S0_25,0.00013668061040209115,8.83477089300202e-05,0.24,0.00011350658576371505,0.00021664921056761696,377940
S0_5,0.00012972058143388064,8.027140459622892e-05,0.26,0.00010811304626252898,0.00019758899667577596,377940
S1_0,8.391744186009551e-05,7.170893356077202e-05,0.294,7.514745113612573e-05,0.0001313443585648866,377940
