campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,lambda_risk,reward_type
abl_lambda_risk_penalty_0.000,A,42,nivel2,4000,0.3018658158579659,0.07320382413438556,0.20647961132136322,0.06037316317159318,1.0,0.2,1.0,8.0,0.37360960082150996,-1.0,-0.001244389534481132,0.01892235713341705,4000,2026-05-12T20:15:41Z,4.561955599987414,0.0,risk_penalty
abl_lambda_risk_penalty_0.000,A,123,nivel2,4000,0.40523166193149046,0.09847114524916724,0.14567920471652124,0.08104633238629809,1.0,0.208,1.0,1.0,0.3564411988481879,-1.0,0.06786817385778603,0.054585300464384964,4000,2026-05-12T20:15:44Z,2.5873245999973733,0.0,risk_penalty
abl_lambda_risk_penalty_0.000,A,456,nivel2,4000,-0.3942443223200092,-0.08239810708227124,0.4239609678790858,-0.07884886446400179,1.0,0.152,1.0,9.0,0.47865519986953586,-1.0,0.03609216081198911,0.03490964089452893,4000,2026-05-12T20:15:46Z,2.6469741000037175,0.0,risk_penalty
abl_lambda_risk_penalty_0.010,A,42,nivel2,4000,-0.3003974016359258,-0.07341887992694328,0.38714604061217606,-0.06007948032718515,1.0,0.2,1.0,8.0,0.3081903993152082,-1.0,-0.1564777738231074,-0.12922693386028206,4000,2026-05-12T20:15:49Z,2.406777399999555,0.01,risk_penalty
abl_lambda_risk_penalty_0.010,A,123,nivel2,4000,-0.17995461082415848,-0.044637368326247026,0.3288562939568666,-0.035990922164831705,1.0,0.2,1.0,1.0,0.31441479979548603,-1.0,-0.06327282338770551,-0.08121498681750126,4000,2026-05-12T20:15:52Z,2.3279977000202052,0.01,risk_penalty
abl_lambda_risk_penalty_0.010,A,456,nivel2,4000,-1.0941040128985817,-0.22814819942975176,1.0195054853478844,-0.2188208025797163,1.0,0.152,1.0,9.0,0.32824720011558384,-1.0,-0.10683054940527777,-0.11394004302432695,4000,2026-05-12T20:15:54Z,2.4648480999749154,0.01,risk_penalty
abl_lambda_risk_penalty_0.050,A,42,nivel2,4000,-2.4562503276864263,-0.6022475748606011,2.446929862816462,-0.49125006553728534,1.0,0.192,1.0,8.0,0.33471719978842884,-1.0,-0.7928384807595866,-0.7295376827260656,4000,2026-05-12T20:15:57Z,2.514973799989093,0.05,risk_penalty
abl_lambda_risk_penalty_0.050,A,123,nivel2,4000,-2.610291008573695,-0.6093980580029676,2.627016161874628,-0.5220582017147389,1.0,0.208,1.0,1.0,0.37376439932268113,-1.0,-0.5900096776776868,-0.6255025685990538,4000,2026-05-12T20:16:00Z,2.8085319999954663,0.05,risk_penalty
abl_lambda_risk_penalty_0.050,A,456,nivel2,4000,-3.657368978556891,-0.7539010399380155,3.5610934075682303,-0.7314737957113783,1.0,0.156,1.0,9.0,0.3659459997434169,-1.0,-0.6828992049255945,-0.7115276860253752,4000,2026-05-12T20:16:03Z,2.610280299995793,0.05,risk_penalty
abl_lambda_risk_penalty_0.100,A,42,nivel2,4000,-5.34382272153018,-1.1256697013298913,5.325023412703031,-1.068764544306036,1.0,0.192,1.0,8.0,0.43705639941617846,-1.0,-1.5854535671006815,-1.478508220143543,4000,2026-05-12T20:16:06Z,2.968995700008236,0.1,risk_penalty
abl_lambda_risk_penalty_0.100,A,123,nivel2,4000,-5.71822493317115,-1.153898722378278,5.688440172791452,-1.14364498663423,1.0,0.208,1.0,1.0,0.36068520101252943,-1.0,-1.230659230451541,-1.2969762882816833,4000,2026-05-12T20:16:09Z,2.7160418999847025,0.1,risk_penalty
abl_lambda_risk_penalty_0.100,A,456,nivel2,4000,-6.798204021582107,-1.3174268506004763,6.7904359557271965,-1.3596408043164216,1.0,0.168,1.0,1.0,0.359004000085406,-1.0,-1.3853288813305058,-1.449684168278943,4000,2026-05-12T20:16:11Z,2.5779555000190157,0.1,risk_penalty
abl_lambda_log_wealth_0.000,A,42,nivel2,4000,0.2580960415394038,0.06272926295200605,0.21454697073625387,0.05161920830788078,1.0,0.2,1.0,8.0,0.3544571998063475,-1.0,-0.017452729639970806,0.005137220898003796,4000,2026-05-12T20:16:14Z,2.6465479000180494,0.0,log_wealth
abl_lambda_log_wealth_0.000,A,123,nivel2,4000,0.37880728425990307,0.09161887030577205,0.15097841150850116,0.07576145685198059,1.0,0.208,1.0,1.0,0.5141316006192937,-1.0,0.05734476661909511,0.043482965026752855,4000,2026-05-12T20:16:17Z,2.7699018999992404,0.0,log_wealth
abl_lambda_log_wealth_0.000,A,456,nivel2,4000,-0.4365950209987893,-0.09002562639348237,0.45079260034333607,-0.08731900419975785,1.0,0.152,1.0,9.0,0.4220984010025859,-1.0,0.02081807698967257,0.020591939314605158,4000,2026-05-12T20:16:20Z,2.8223780999833252,0.0,log_wealth
abl_lambda_log_wealth_0.010,A,42,nivel2,4000,-0.3126129003659738,-0.07670141113075864,0.3831564005016571,-0.06252258007319475,1.0,0.2,1.0,8.0,0.39457160083111376,-1.0,-0.17599882482651563,-0.1446684255446546,4000,2026-05-12T20:16:23Z,2.9683781000203453,0.01,log_wealth
abl_lambda_log_wealth_0.010,A,123,nivel2,4000,-0.24440852556104867,-0.058795387839951925,0.38836616534916396,-0.048881705112209725,1.0,0.204,1.0,1.0,0.39544679946266115,-1.0,-0.07051328788332209,-0.09067585088359623,4000,2026-05-12T20:16:26Z,2.606421300006332,0.01,log_wealth
