campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,topology
v8_exp5_dreg_aff,C,42,nivel2,50000,0.8877753394999949,0.047360161408889906,0.2794794538715632,0.177555067899999,0.9666666666666667,0.22301587301587303,0.4658730158730159,6.0,0.9953970634921374,20.0,0.3465752881623717,0.20547037626299425,50000,2026-07-20T21:19:20Z,59.07583030000001,dreg_aff
v8_exp5_dreg_aff,D,42,nivel2,50000,0.5741934992220685,0.03135829174903175,0.36715390741489734,0.11483869984441379,0.9,0.2007936507936508,0.4746031746031746,1.0,1.2188848412706865,21.0,0.2581541212227767,0.17371009142508778,50000,2026-07-20T21:20:45Z,84.75491769999996,dreg_aff
v8_exp5_dreg_aff,R,42,nivel2,50000,1.5395924358398685,0.0882323604770232,0.2519658526652757,0.30791848716797376,1.0,0.19047619047619047,0.45396825396825397,1.0,0.8169627777775416,-1.0,0.2609219961625851,0.08380013769118604,50000,2026-07-20T21:21:40Z,54.99363590000007,dreg_aff
v8_exp5_dreg_uni,C,42,nivel2,50000,0.8552339982464201,0.04651943208341092,0.3101945029314426,0.1710467996492841,0.9666666666666667,0.19047619047619047,0.4984126984126984,2.0,0.7572763492048363,20.0,0.42997254469802987,0.21966568144923376,50000,2026-07-20T21:22:36Z,56.170433600000024,dreg_uni
v8_exp5_dreg_uni,D,42,nivel2,50000,0.9295063086039697,0.04730395051399555,0.23322722190727196,0.18590126172079396,1.0,0.1746031746031746,0.45396825396825397,10.0,0.9993546031731216,22.0,0.3714107226512956,0.2147285469879426,50000,2026-07-20T21:23:43Z,66.50968599999999,dreg_uni
v8_exp5_dreg_uni,R,42,nivel2,50000,1.5395924358398685,0.0882323604770232,0.2519658526652757,0.30791848716797376,1.0,0.19047619047619047,0.45396825396825397,1.0,0.8583241269834146,-1.0,0.2609219961625851,0.08380013769118604,50000,2026-07-20T21:24:39Z,55.708697200000074,dreg_uni
v8_exp5_cycle,C,42,nivel2,50000,0.8623213422028386,0.04302833269493606,0.3835704913523128,0.17246426844056767,0.9666666666666667,0.24285714285714285,0.5253968253968254,1.0,0.9155215872996205,-1.0,0.2836567519980527,0.1368907930383618,50000,2026-07-20T21:25:43Z,63.65609549999999,cycle
v8_exp5_cycle,D,42,nivel2,50000,0.4898671247856245,0.030177629868478696,0.23369436290617834,0.09797342495712494,0.9666666666666667,0.20317460317460317,0.3976190476190476,8.0,1.197825714281667,-1.0,0.5022430254008938,0.2699981247302261,50000,2026-07-20T21:27:06Z,82.67907949999994,cycle
v8_exp5_cycle,R,42,nivel2,50000,1.5395924358398685,0.0882323604770232,0.2519658526652757,0.30791848716797376,1.0,0.19047619047619047,0.45396825396825397,1.0,0.9322761904768196,-1.0,0.2609219961625851,0.08380013769118604,50000,2026-07-20T21:28:11Z,64.97347510000009,cycle
v8_exp5_bipartite,C,42,nivel2,50000,1.4309182907202729,0.07752626661349339,0.27741939149304073,0.28618365814405455,0.9333333333333333,0.19126984126984126,0.4111111111111111,1.0,0.9968409523830742,-1.0,0.5608361706563574,0.25860109974170536,50000,2026-07-20T21:29:26Z,74.26229920000014,bipartite
v8_exp5_bipartite,D,42,nivel2,50000,0.7093029047512078,0.035932502997418576,0.37672689790163755,0.1418605809502417,0.9666666666666667,0.17936507936507937,0.37936507936507935,22.0,1.2877435714306067,18.0,0.4331947774015501,0.23392642849774575,50000,2026-07-20T21:30:57Z,90.5869987000001,bipartite
v8_exp5_bipartite,R,42,nivel2,50000,1.5395924358398685,0.0882323604770232,0.2519658526652757,0.30791848716797376,1.0,0.19047619047619047,0.45396825396825397,1.0,1.0173444444444975,-1.0,0.2609219961625851,0.08380013769118604,50000,2026-07-20T21:32:11Z,74.2844877,bipartite
v8_exp5_dreg_aff,C,123,nivel2,50000,0.968633313224575,0.05207630330538377,0.19540390958967324,0.19372666264491495,0.9333333333333333,0.22380952380952382,0.4793650793650794,1.0,1.0243276984113883,17.0,0.3729019311108758,0.24952749959201642,50000,2026-07-20T21:33:23Z,71.66727790000004,dreg_aff
v8_exp5_dreg_aff,D,123,nivel2,50000,0.5014448795202961,0.02595993328702352,0.4211205759437798,0.1002889759040593,0.9,0.18888888888888888,0.48095238095238096,1.0,1.1135367460334626,19.0,0.30918616328873566,0.20989731111523663,50000,2026-07-20T21:34:44Z,80.57987660000003,dreg_aff
v8_exp5_dreg_aff,R,123,nivel2,50000,0.43566596258852963,0.021160065543453118,0.43819806625295943,0.08713319251770593,1.0,0.19285714285714287,0.4650793650793651,6.0,0.8542357936490257,9.0,0.09810121723124086,0.08258326439278801,50000,2026-07-20T21:35:51Z,66.59051080000017,dreg_aff
v8_exp5_dreg_uni,C,123,nivel2,50000,0.27866155814417837,0.01486166917455745,0.38666466596169197,0.055732311628835615,0.9333333333333333,0.21031746031746032,0.49206349206349204,1.0,0.9392231745998345,18.0,0.3914534643376516,0.2474246087483546,50000,2026-07-20T21:36:57Z,66.06714420000003,dreg_uni
v8_exp5_dreg_uni,D,123,nivel2,50000,0.5824558494909107,0.0288891656075072,0.43129707141890894,0.11649116989818216,0.9333333333333333,0.1992063492063492,0.49682539682539684,1.0,1.0000510317450024,22.0,0.3027184905443884,0.22388317870591368,50000,2026-07-20T21:38:09Z,71.20783649999998,dreg_uni
v8_exp5_dreg_uni,R,123,nivel2,50000,0.43566596258852963,0.021160065543453118,0.43819806625295943,0.08713319251770593,1.0,0.19285714285714287,0.4650793650793651,6.0,0.7637127777783578,9.0,0.09810121723124086,0.08258326439278801,50000,2026-07-20T21:39:07Z,57.95340779999992,dreg_uni
v8_exp5_cycle,C,123,nivel2,50000,0.8669400034230093,0.04216116373695039,0.30413832181797495,0.17338800068460186,0.9666666666666667,0.21904761904761905,0.530952380952381,6.0,0.7538722222216887,21.0,0.3544725141264924,0.18817306710373835,50000,2026-07-20T21:40:03Z,56.10203440000009,cycle
