campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds
oracle_v7,ORACLE,42,nivel2,50000,34.82139610463775,1.408767914897504,0.012872505727786532,6.964279220927551,1.0,0.33015873015873015,0.7182539682539683,2.0,0.5385587301654076,8.0,7.1905771984991285,6.594977975596026,50000,2026-06-10T20:20:23Z,46.74656010000035
oracle_v7,ORACLE,123,nivel2,50000,35.559250422264704,1.3046875460602188,0.012848208120331606,7.111850084452942,1.0,0.33015873015873015,0.7198412698412698,6.0,0.42887507931612034,1.0,6.673258333017802,6.900866635014009,50000,2026-06-10T20:21:06Z,42.756605400005355
oracle_v7,ORACLE,456,nivel2,50000,34.01111069320896,1.3140107010601205,0.012872505727786532,6.802222138641794,1.0,0.35079365079365077,0.7325396825396825,4.0,0.4114118251660358,1.0,6.6272216679394536,6.790951923799381,50000,2026-06-10T20:21:41Z,34.83543950000603
oracle_v7,ORACLE,789,nivel2,50000,35.69030096111484,1.3270187005105623,0.012872505727784755,7.13806019222297,1.0,0.3373015873015873,0.7277777777777777,3.0,0.42603047639002195,1.0,7.670434184098012,6.868863966226399,50000,2026-06-10T20:22:19Z,38.247970100012026
oracle_v7,ORACLE,1024,nivel2,50000,33.550258431163876,1.390513137486046,0.012872505727784755,6.7100516862327755,1.0,0.3531746031746032,0.7142857142857143,1.0,0.38305492032252786,2.0,6.5700078437106715,6.798285621569997,50000,2026-06-10T20:22:54Z,34.04581330000656
oracle_v7,ORACLE,7,nivel2,50000,34.571095311669595,1.3163548345814393,0.012848208120335158,6.91421906233392,1.0,0.373015873015873,0.723015873015873,1.0,0.4409934924398031,1.0,7.453711826576011,6.65219481227663,50000,2026-06-10T20:23:30Z,36.04381689999718
oracle_v7,ORACLE,99,nivel2,50000,34.073896855064646,1.2344107155903228,0.012872505727784755,6.814779371012932,1.0,0.35714285714285715,0.719047619047619,1.0,0.44618944472555694,3.0,6.821521314801286,6.838078451186968,50000,2026-06-10T20:24:10Z,39.46047739998903
oracle_v7,ORACLE,314,nivel2,50000,35.2519583697005,1.3201033633912809,0.012848208120335158,7.050391673940103,1.0,0.35079365079365077,0.7261904761904762,3.0,0.4345572222576713,2.0,6.624976619303341,6.740274608624434,50000,2026-06-10T20:24:51Z,41.70316940000339
oracle_v7,ORACLE,1729,nivel2,50000,35.472565196702305,1.2733108830344118,0.012848208120335158,7.0945130393404625,1.0,0.3515873015873016,0.7214285714285714,2.0,0.5558615873312756,1.0,6.758372830176902,6.723770370131753,50000,2026-06-10T20:25:34Z,42.637835499990615
oracle_v7,ORACLE,65535,nivel2,50000,34.992635006357844,1.3516919999876276,0.012872505727786532,6.9985270012715715,1.0,0.3325396825396825,0.7126984126984127,2.0,0.5665861903772955,1.0,7.619702112134888,6.673227847991416,50000,2026-06-10T20:26:21Z,46.04489619999367
