campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,rotation_p
rotation_p0.00_v7,S_p0.00,42,nivel2,50000,0.4714453546659477,0.024697826362287314,0.5165697807816201,0.09428907093318954,0.9333333333333333,0.16666666666666666,0.43174603174603177,1.0,0.9928285714320535,1.0,0.11799261796882114,0.10539615852989474,50000,2026-06-10T04:03:22Z,63.756959300000744,0.0
rotation_p0.10_v7,S_p0.10,42,nivel2,50000,0.4997989764443287,0.025799712446019196,0.4001711058494718,0.09995979528886575,1.0,0.15634920634920635,0.4246031746031746,1.0,0.8263470634581551,5.0,0.05570432972749219,0.10051434756409668,50000,2026-06-10T04:04:28Z,65.56966980000107,0.1
rotation_p0.25_v7,S_p0.25,42,nivel2,50000,1.8456331757316566,0.09924041880437132,0.21047227878162067,0.36912663514633126,1.0,0.18888888888888888,0.4396825396825397,1.0,1.0611295238367535,2.0,0.19154008903207756,0.09982424995438643,50000,2026-06-10T04:05:42Z,73.11487259999922,0.25
rotation_p0.50_v7,S_p0.50,42,nivel2,50000,0.9388616602161095,0.04963469922004254,0.3113160762396123,0.18777233204322194,1.0,0.19523809523809524,0.4595238095238095,1.0,1.1084160317772156,-1.0,0.20225446747820375,0.09021842588747565,50000,2026-06-10T04:06:56Z,74.14160880000054,0.5
rotation_p0.75_v7,S_p0.75,42,nivel2,50000,0.2559915892258722,0.013260070104625309,0.42409120334089834,0.05119831784517446,0.9666666666666667,0.19206349206349208,0.44682539682539685,1.0,1.0959902380515512,-1.0,0.15970584246481656,0.07727202362638025,50000,2026-06-10T04:08:11Z,74.73283860000083,0.75
rotation_p1.00_v7,S_p1.00,42,nivel2,50000,0.33711952822881674,0.015864251265048063,0.3922329350051334,0.06742390564576335,1.0,0.16031746031746033,0.44047619047619047,1.0,1.0634856349266586,12.0,0.20227933035071782,0.1102715178516646,50000,2026-06-10T04:09:24Z,72.68821910000042,1.0
rotation_p0.00_v7,S_p0.00,123,nivel2,50000,0.7602815918605547,0.03679623636785339,0.319232307643197,0.15205631837211095,0.9333333333333333,0.15555555555555556,0.4380952380952381,6.0,1.0869117460118551,16.0,0.058239288959735826,0.08454338472077959,50000,2026-06-10T04:10:37Z,72.58743390000018,0.0
rotation_p0.10_v7,S_p0.10,123,nivel2,50000,0.14914235147377974,0.007408221089901359,0.42707844638999326,0.029828470294755972,1.0,0.17539682539682538,0.4396825396825397,6.0,0.7452974603164342,16.0,0.03876171334566671,0.0814617445153682,50000,2026-06-10T04:11:46Z,68.46473430000151,0.1
rotation_p0.25_v7,S_p0.25,123,nivel2,50000,1.1068229728892898,0.060626631058336745,0.3964253462021867,0.2213645945778579,0.9666666666666667,0.18571428571428572,0.44126984126984126,8.0,0.7598387301605105,10.0,0.045536214084805925,0.09139933651019777,50000,2026-06-10T04:12:40Z,54.28764819999924,0.25
rotation_p0.50_v7,S_p0.50,123,nivel2,50000,1.1062144521924153,0.05790565753827942,0.30881364050737037,0.22124289043848294,1.0,0.19126984126984126,0.46984126984126984,17.0,1.0248880952473436,-1.0,0.23068145233208864,0.089524966051863,50000,2026-06-10T04:13:49Z,67.9690671999997,0.5
