selector,tercil_bajo,tercil_medio,tercil_alto,n_steps
D,0.41763235628266304,0.4055333998005982,0.5230955259975816,12548
C,0.3468219125787364,0.5004981071926679,0.4633187772925764,12548
R,0.44767583353614016,0.476905311778291,nan,12548
Q,0.3147136838820409,0.3202386872202884,0.5373062015503876,12548
S0.0,0.40969369792277904,nan,0.4372982369009188,12548
S0.25,0.4343513152028533,nan,0.47175615212527966,12548
S0.5,0.4374905972619227,0.4641051567239636,0.4781491002570694,12548
S1.0,0.4438689472416285,0.47715496938294866,nan,12548
