estrategia,sd_familia,sd,K,sr_star,dsr,supera_095
equal_weight,seleccion_19,0.024123,23,0.047318,0.564519,0
equal_weight,seleccion_19,0.024123,24,0.047758,0.559076,0
equal_weight,seleccion_19,0.024123,25,0.048177,0.55388,0
equal_weight,seleccion_19,0.024123,26,0.048577,0.548911,0
equal_weight,seleccion_19,0.024123,27,0.04896,0.544152,0
equal_weight,seleccion_19,0.024123,28,0.049326,0.539587,0
equal_weight,seleccion_19,0.024123,29,0.049678,0.535202,0
equal_weight,seleccion_19,0.024123,30,0.050016,0.530984,0
equal_weight,seleccion_19,0.024123,31,0.050341,0.526922,0
equal_weight,seleccion_19,0.024123,32,0.050655,0.523005,0
equal_weight,seleccion_19,0.024123,33,0.050957,0.519225,0
equal_weight,seleccion_19,0.024123,34,0.051249,0.515573,0
equal_weight,seleccion_19,0.024123,35,0.051531,0.51204,0
equal_weight,seleccion_19,0.024123,36,0.051804,0.50862,0
equal_weight,seleccion_19,0.024123,37,0.052069,0.505307,0
equal_weight,seleccion_19,0.024123,38,0.052326,0.502095,0
equal_weight,seleccion_19,0.024123,39,0.052575,0.498978,0
momentum_20d,seleccion_19,0.024123,2,0.012538,0.979028,1
momentum_20d,seleccion_19,0.024123,3,0.020572,0.962526,1
momentum_20d,seleccion_19,0.024123,4,0.02538,0.948365,0
momentum_20d,seleccion_19,0.024123,5,0.028769,0.936043,0
momentum_20d,seleccion_19,0.024123,6,0.031363,0.925149,0
momentum_20d,seleccion_19,0.024123,7,0.033453,0.915388,0
momentum_20d,seleccion_19,0.024123,8,0.035196,0.906543,0
momentum_20d,seleccion_19,0.024123,9,0.036685,0.898454,0
momentum_20d,seleccion_19,0.024123,10,0.037984,0.891,0
momentum_20d,seleccion_19,0.024123,11,0.039132,0.884086,0
momentum_20d,seleccion_19,0.024123,12,0.04016,0.877637,0
momentum_20d,seleccion_19,0.024123,13,0.041089,0.871594,0
momentum_20d,seleccion_19,0.024123,14,0.041936,0.865908,0
momentum_20d,seleccion_19,0.024123,15,0.042714,0.860538,0
momentum_20d,seleccion_19,0.024123,16,0.043432,0.85545,0
momentum_20d,seleccion_19,0.024123,17,0.044099,0.850616,0
momentum_20d,seleccion_19,0.024123,18,0.044721,0.846011,0
momentum_20d,seleccion_19,0.024123,19,0.045303,0.841614,0
momentum_20d,seleccion_19,0.024123,20,0.04585,0.837407,0
momentum_20d,seleccion_19,0.024123,21,0.046367,0.833374,0
momentum_20d,seleccion_19,0.024123,22,0.046855,0.8295,0
momentum_20d,seleccion_19,0.024123,23,0.047318,0.825775,0
momentum_20d,seleccion_19,0.024123,24,0.047758,0.822186,0
momentum_20d,seleccion_19,0.024123,25,0.048177,0.818724,0
momentum_20d,seleccion_19,0.024123,26,0.048577,0.81538,0
momentum_20d,seleccion_19,0.024123,27,0.04896,0.812146,0
momentum_20d,seleccion_19,0.024123,28,0.049326,0.809016,0
momentum_20d,seleccion_19,0.024123,29,0.049678,0.805982,0
momentum_20d,seleccion_19,0.024123,30,0.050016,0.80304,0
momentum_20d,seleccion_19,0.024123,31,0.050341,0.800183,0
momentum_20d,seleccion_19,0.024123,32,0.050655,0.797407,0
momentum_20d,seleccion_19,0.024123,33,0.050957,0.794707,0
momentum_20d,seleccion_19,0.024123,34,0.051249,0.79208,0
momentum_20d,seleccion_19,0.024123,35,0.051531,0.789521,0
momentum_20d,seleccion_19,0.024123,36,0.051804,0.787027,0
momentum_20d,seleccion_19,0.024123,37,0.052069,0.784594,0
momentum_20d,seleccion_19,0.024123,38,0.052326,0.782221,0
momentum_20d,seleccion_19,0.024123,39,0.052575,0.779903,0
