campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,ablation_kind,ablation_value,depol_prob,dephas_prob,subgraph_M
abl_nisq_v3_ideal_C,C,42,nivel2,5000,0.018574507956034506,0.004810820621412657,0.29005400815158966,0.0037149015912069094,0.8333333333333334,0.184,0.424,12.0,0.7261804006993771,-1.0,0.03617827764393733,0.032794220633919596,5000,2026-05-13T02:32:50Z,9.282736599998316,nisq_v3,ideal,0.0,0.0,8
abl_nisq_v3_ideal_C,C,123,nivel2,5000,0.06800563653181331,0.020559931856489723,0.21255615172321907,0.013601127306362659,0.8,0.18,0.488,1.0,0.7345592012861744,-1.0,0.022258316501150073,0.0282210723989564,5000,2026-05-13T02:32:57Z,6.8396580000116955,nisq_v3,ideal,0.0,0.0,8
abl_nisq_v3_ideal_C,C,456,nivel2,5000,0.04495805040998563,0.011841839419721932,0.25022697435041524,0.008991610081997134,0.6,0.168,0.432,6.0,0.7325024004094303,-1.0,0.04645312346160094,0.025119342265649006,5000,2026-05-13T02:33:04Z,7.153607200016268,nisq_v3,ideal,0.0,0.0,8
abl_nisq_v3_depol=0.05_C,C,42,nivel2,5000,0.018574507956034506,0.004810820621412657,0.29005400815158966,0.0037149015912069094,0.8333333333333334,0.184,0.424,12.0,1.36330000043381,-1.0,0.03617827764393733,0.032794220633919596,5000,2026-05-13T02:33:12Z,7.371922299993457,nisq_v3,depol=0.05,0.05,0.0,8
abl_nisq_v3_depol=0.05_C,C,123,nivel2,5000,0.06800563653181331,0.020559931856489723,0.21255615172321907,0.013601127306362659,0.8,0.18,0.488,1.0,0.5764839996118098,-1.0,0.022258316501150073,0.0282210723989564,5000,2026-05-13T02:33:19Z,6.638697799993679,nisq_v3,depol=0.05,0.05,0.0,8
abl_nisq_v3_depol=0.05_C,C,456,nivel2,5000,0.04495805040998563,0.011841839419721932,0.25022697435041524,0.008991610081997134,0.6,0.168,0.432,6.0,0.5825263999868184,-1.0,0.04645312346160094,0.025119342265649006,5000,2026-05-13T02:33:25Z,5.36953419999918,nisq_v3,depol=0.05,0.05,0.0,8
abl_nisq_v3_depol=0.10_C,C,42,nivel2,5000,0.018574507956034506,0.004810820621412657,0.29005400815158966,0.0037149015912069094,0.8333333333333334,0.184,0.424,12.0,0.5645244005136192,-1.0,0.03617827764393733,0.032794220633919596,5000,2026-05-13T02:33:30Z,5.317227499996079,nisq_v3,depol=0.10,0.1,0.0,8
abl_nisq_v3_depol=0.10_C,C,123,nivel2,5000,0.06800563653181331,0.020559931856489723,0.21255615172321907,0.013601127306362659,0.8,0.18,0.488,1.0,0.5960215996019542,-1.0,0.022258316501150073,0.0282210723989564,5000,2026-05-13T02:33:36Z,5.427209599991329,nisq_v3,depol=0.10,0.1,0.0,8
abl_nisq_v3_depol=0.10_C,C,456,nivel2,5000,0.04495805040998563,0.011841839419721932,0.25022697435041524,0.008991610081997134,0.6,0.168,0.432,6.0,0.5817791998852044,-1.0,0.04645312346160094,0.025119342265649006,5000,2026-05-13T02:33:41Z,5.403450600017095,nisq_v3,depol=0.10,0.1,0.0,8
abl_nisq_v3_dephas=0.05_C,C,42,nivel2,5000,0.018574507956034506,0.004810820621412657,0.29005400815158966,0.0037149015912069094,0.8333333333333334,0.184,0.424,12.0,0.6050279997289181,-1.0,0.03617827764393733,0.032794220633919596,5000,2026-05-13T02:33:47Z,5.574571899982402,nisq_v3,dephas=0.05,0.0,0.05,8
abl_nisq_v3_dephas=0.05_C,C,123,nivel2,5000,0.06800563653181331,0.020559931856489723,0.21255615172321907,0.013601127306362659,0.8,0.18,0.488,1.0,0.571351999649778,-1.0,0.022258316501150073,0.0282210723989564,5000,2026-05-13T02:33:53Z,5.446552999987034,nisq_v3,dephas=0.05,0.0,0.05,8
abl_nisq_v3_dephas=0.05_C,C,456,nivel2,5000,0.04495805040998563,0.011841839419721932,0.25022697435041524,0.008991610081997134,0.6,0.168,0.432,6.0,0.5782643981510773,-1.0,0.04645312346160094,0.025119342265649006,5000,2026-05-13T02:33:58Z,5.301045000000158,nisq_v3,dephas=0.05,0.0,0.05,8
