campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,ablation_kind,ablation_value,depol_prob,dephas_prob,subgraph_M
abl_nisq_v3_ideal,D,42,nivel2,5000,0.6781909181706587,0.21841335263715447,0.08070497621573555,0.13563818363413171,0.8333333333333334,0.196,0.476,5.0,1.2582012002822012,-1.0,0.04238106784376807,0.04816673705186475,5000,2026-05-12T22:57:28Z,11.83793660000083,nisq_v3,ideal,0.0,0.0,8
abl_nisq_v3_ideal,D,123,nivel2,5000,-0.04037727637486842,-0.009246781703009207,0.25264546119458664,-0.008075455274973675,0.8,0.184,0.46,22.0,1.1097764007281512,-1.0,0.013397670585908402,0.03252865859676932,5000,2026-05-12T22:57:37Z,8.822902500018245,nisq_v3,ideal,0.0,0.0,8
abl_nisq_v3_ideal,D,456,nivel2,5000,0.38668568291906463,0.11179512751914959,0.09773416626477048,0.07733713658381294,0.4666666666666667,0.16,0.364,3.0,1.0055604005465284,-1.0,0.06520431433213564,0.038266648242032776,5000,2026-05-12T22:57:46Z,8.993115400022361,nisq_v3,ideal,0.0,0.0,8
abl_nisq_v3_depol=0.05,D,42,nivel2,5000,0.5778628719907992,0.18695538336520917,0.061682263639709856,0.11557257439815985,0.7666666666666667,0.212,0.448,5.0,28.606829599826597,-1.0,0.020316552559681945,0.019223915946396372,5000,2026-05-12T23:00:52Z,185.92266949999612,nisq_v3,depol=0.05,0.05,0.0,8
abl_nisq_v3_depol=0.05,D,123,nivel2,5000,0.02129089003963079,0.005285309401063413,0.20912183621975622,0.00425817800792615,0.8,0.2,0.472,14.0,25.83163200027775,-1.0,0.020322967084010587,0.02279130251642704,5000,2026-05-12T23:03:44Z,171.06566210000892,nisq_v3,depol=0.05,0.05,0.0,8
abl_nisq_v3_depol=0.05,D,456,nivel2,5000,0.24935702968147394,0.07338427437515642,0.08901302178106221,0.049871405936294785,0.5,0.164,0.408,3.0,27.117623599478975,-1.0,0.04732068535959305,0.033298740505643534,5000,2026-05-12T23:06:28Z,164.37912550001056,nisq_v3,depol=0.05,0.05,0.0,8
abl_nisq_v3_depol=0.10,D,42,nivel2,5000,0.29579982544793487,0.09550417680360813,0.1156862267858188,0.059159965089586965,0.8333333333333334,0.2,0.464,5.0,29.7349199996097,-1.0,0.01984507151322409,0.029620243961529864,5000,2026-05-12T23:09:42Z,193.02712820001761,nisq_v3,depol=0.10,0.1,0.0,8
abl_nisq_v3_depol=0.10,D,123,nivel2,5000,-0.14708506390680287,-0.028541221533554414,0.2754403518174665,-0.029417012781360573,0.8,0.196,0.488,19.0,30.940740399528295,-1.0,0.01604779962147138,0.02015326217065309,5000,2026-05-12T23:12:47Z,184.8796064000053,nisq_v3,depol=0.10,0.1,0.0,8
abl_nisq_v3_depol=0.10,D,456,nivel2,5000,0.012694883241899869,0.0030667011248482153,0.19982162687382815,0.0025389766483799835,0.6,0.152,0.384,3.0,31.376547998865135,-1.0,0.04608029793002804,0.036872838220144165,5000,2026-05-12T23:16:04Z,197.2175290999876,nisq_v3,depol=0.10,0.1,0.0,8
abl_nisq_v3_dephas=0.05,D,42,nivel2,5000,0.5624021323647469,0.17823691176678383,0.08070497621573552,0.11248042647294935,0.8666666666666667,0.204,0.464,5.0,11.945505999261513,-1.0,0.027366820545720136,0.02870070955757496,5000,2026-05-12T23:17:30Z,85.29411709998385,nisq_v3,dephas=0.05,0.0,0.05,8
abl_nisq_v3_dephas=0.05,D,123,nivel2,5000,-0.19150290295624367,-0.03956313373523991,0.35778865172426394,-0.038300580591248745,0.7666666666666667,0.168,0.464,19.0,12.614432000205852,-1.0,0.013852851642730883,0.02809961650124976,5000,2026-05-12T23:18:55Z,85.47702180000488,nisq_v3,dephas=0.05,0.0,0.05,8
abl_nisq_v3_dephas=0.05,D,456,nivel2,5000,0.34762471937086453,0.09734441408603542,0.16021075840422602,0.06952494387417293,0.5333333333333333,0.136,0.392,3.0,12.55817760003265,-1.0,0.06276632059235439,0.028774103468108398,5000,2026-05-12T23:20:23Z,87.80615080002462,nisq_v3,dephas=0.05,0.0,0.05,8
