campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,variant,variant_M,variant_k,variant_beta,variant_m
scan_baseline,C,42,nivel2,5000,-24.809117371163744,-1.1973744400276216,24.80043321023095,-4.9618234742327445,0.9,0.18095238095238095,0.41984126984126985,7.0,0.806745952459529,-1.0,-5.521509710563036,-5.869478998878567,5000,2026-05-12T04:13:43Z,10.36620380000386,baseline,8,3,0.0,3
scan_baseline,C,123,nivel2,5000,-25.490028741566267,-1.183289328906013,25.480141423491915,-5.098005748313251,0.9,0.16428571428571428,0.43333333333333335,6.0,0.6965948413712867,-1.0,-6.42041947646619,-6.657078908985806,5000,2026-05-12T04:13:50Z,7.01015699999698,baseline,8,3,0.0,3
scan_baseline,C,456,nivel2,5000,-24.68944999874376,-1.1424199857314294,24.679112847156883,-4.93788999974875,0.9,0.18333333333333332,0.4365079365079365,14.0,0.7441951585138985,-1.0,-6.27969656510196,-6.285789868610405,5000,2026-05-12T04:13:57Z,7.128568700005417,baseline,8,3,0.0,3
scan_baseline,D,42,nivel2,5000,-27.115819927779015,-1.186196550746464,27.107135766846177,-5.4231639855557985,0.8666666666666667,0.1626984126984127,0.4388888888888889,6.0,1.093051349432374,-1.0,-5.615716581076543,-6.0026588681135005,5000,2026-05-12T04:14:08Z,10.229035500000464,baseline,8,3,0.0,3
scan_baseline,D,123,nivel2,5000,-26.809320848276226,-1.2235878762810468,26.798580763143875,-5.361864169655243,0.8666666666666667,0.18015873015873016,0.4579365079365079,6.0,1.1004855551171147,-1.0,-6.48784112312126,-6.751471494649067,5000,2026-05-12T04:14:18Z,9.930992199995671,baseline,8,3,0.0,3
scan_baseline,D,456,nivel2,5000,-26.35209510323809,-1.180609614888622,26.341757951651193,-5.270419020647616,0.9,0.1880952380952381,0.4587301587301587,14.0,1.0415479364354046,-1.0,-6.415026871797299,-6.436701013689926,5000,2026-05-12T04:14:28Z,10.124546499995631,baseline,8,3,0.0,3
scan_s1_beta,C,42,nivel2,5000,-30.003122767876334,-1.1711657690886565,29.994438606943515,-6.0006245535752605,0.9333333333333333,0.15396825396825398,0.3547619047619048,7.0,0.8382962699143386,-1.0,-5.673843342989296,-6.086222067365355,5000,2026-05-12T04:14:37Z,8.179043600001023,s1_beta,8,3,0.5,3
scan_s1_beta,C,123,nivel2,5000,-28.70547147660379,-1.1193433490646443,28.694807719130637,-5.741094295320754,0.9333333333333333,0.1626984126984127,0.3515873015873016,6.0,0.7856367462192706,-1.0,-6.771386748042566,-6.991844058642663,5000,2026-05-12T04:14:45Z,7.876988900010474,s1_beta,8,3,0.5,3
scan_s1_beta,C,456,nivel2,5000,-28.42561051502707,-1.1141347594264486,28.407128564658503,-5.685122103005408,0.9333333333333333,0.1380952380952381,0.3468253968253968,14.0,0.8189798414865176,-1.0,-6.409963177498294,-6.602166991951859,5000,2026-05-12T04:14:53Z,8.287731300006271,s1_beta,8,3,0.5,3
scan_s1_beta,D,42,nivel2,5000,-28.695455803582394,-1.2114419350254575,28.68370876333214,-5.739091160716477,0.8333333333333334,0.14682539682539683,0.37936507936507935,6.0,1.1655295236518473,-1.0,-5.533197867999684,-5.9147718395618485,5000,2026-05-12T04:15:04Z,10.87080689999857,s1_beta,8,3,0.5,3
