campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,p_star
v8_exp4,S_star,42,nivel2,50000,2.023924507817198,0.11913725500660573,0.1562805458064167,0.4047849015634397,1.0,0.18571428571428572,0.43174603174603177,1.0,0.9457776195227375,16.0,0.18530055852600733,0.10497815569542893,50000,2026-07-20T19:18:19Z,74.00811139997677,0.2618520503737743
v8_exp4,S_star,123,nivel2,50000,0.9930079482807639,0.04828034045929029,0.31780626415697844,0.19860158965615282,1.0,0.18095238095238095,0.4515873015873016,9.0,0.9044215871928452,-1.0,0.03845305127636728,0.0635353238135693,50000,2026-07-20T19:19:29Z,70.55501579999691,0.2618520503737743
v8_exp4,S_star,456,nivel2,50000,0.7089295457136533,0.03655764185136729,0.30644240702970654,0.14178590914273065,1.0,0.18095238095238095,0.4444444444444444,6.0,0.775907778029611,1.0,0.03573965285640434,0.09643043784371669,50000,2026-07-20T19:20:29Z,59.474074500001734,0.2618520503737743
v8_exp4,S_star,789,nivel2,50000,0.15584232017615451,0.007781577097199484,0.39442481165259025,0.03116846403523087,1.0,0.1634920634920635,0.42777777777777776,3.0,0.947657619470856,6.0,0.17926852681968103,0.06015054825299331,50000,2026-07-20T19:21:33Z,63.243307099997764,0.2618520503737743
v8_exp4,S_star,1024,nivel2,50000,0.42726760461058483,0.020768226068572766,0.34958262216650454,0.08545352092211696,0.9666666666666667,0.17063492063492064,0.43412698412698414,3.0,0.9409196033153594,15.0,0.2313314985669816,0.07455790722161455,50000,2026-07-20T19:22:39Z,65.72208189999219,0.2618520503737743
v8_exp4,S_star,7,nivel2,50000,0.29678866988202407,0.015178750992240475,0.43336679936588096,0.05935773397640489,1.0,0.16825396825396827,0.44365079365079363,15.0,0.6462887300701353,6.0,0.041391000232002706,0.07207731249509418,50000,2026-07-20T19:23:29Z,50.32728979998501,0.2618520503737743
v8_exp4,S_star,99,nivel2,50000,0.606633215942604,0.030993109228794356,0.3395256086170511,0.12132664318852085,1.0,0.19682539682539682,0.44047619047619047,5.0,0.6244770636724767,11.0,0.1437346477589968,0.0923467277209387,50000,2026-07-20T19:24:16Z,46.36684899998363,0.2618520503737743
v8_exp4,S_star,314,nivel2,50000,1.9485443676870629,0.10555413042215699,0.28012689895050213,0.3897088735374126,0.9666666666666667,0.2007936507936508,0.46904761904761905,10.0,0.9136761108825412,16.0,0.1301018518393045,0.09568069458319597,50000,2026-07-20T19:25:21Z,64.82013800001005,0.2618520503737743
v8_exp4,S_star,1729,nivel2,50000,0.2875935870356553,0.014906413112487301,0.4164679157522214,0.057518717407131145,0.9333333333333333,0.16428571428571428,0.476984126984127,6.0,0.9371032537144076,12.0,0.16576991303844588,0.11983583815918263,50000,2026-07-20T19:26:31Z,69.90316279997933,0.2618520503737743
v8_exp4,S_star,65535,nivel2,50000,0.16325907202573411,0.008580112641532292,0.47681602653812444,0.032651814405146896,1.0,0.17142857142857143,0.44126984126984126,7.0,0.8529586504520257,-1.0,0.18410703466808784,0.07729602476289753,50000,2026-07-20T19:27:38Z,66.87438779999502,0.2618520503737743
