metric,mean_diff_d_minus_c,ci_lo,ci_hi,n_pairs,p_d_better_than_c,p_two_sided,p_bonferroni,p_holm,p_fdr
cumulative_return,0.12327425748386903,-0.2126138191662169,0.4558855368925519,10,0.7568,0.48639999999999994,1.0,1.0,0.6106222222222223
sharpe_ratio,0.0033992746189334495,-0.01502695251234567,0.022596040242437426,10,0.6316,0.7367999999999999,1.0,1.0,0.7367999999999999
max_drawdown,0.03617248080743322,-0.03893767662725601,0.10962042631005353,10,0.8316,0.3368,1.0,1.0,0.5292571428571429
mean_reward,0.02465485149677382,-0.04254799952352605,0.09366161081372269,10,0.7502,0.49960000000000004,1.0,1.0,0.6106222222222223
episodes_to_convergence,-3.0,-6.833333333333333,-0.3333333333333333,6,0.0,0.0,0.0,0.0,0.0
train_reward_last,0.011154462974080131,-0.06050480485381426,0.06799234811554201,10,0.6544,0.6912,1.0,1.0,0.7367999999999999
topm_hit_rate,0.004999999999999999,-0.004126984126984129,0.014126984126984123,10,0.8424,0.3151999999999999,1.0,1.0,0.5292571428571429
candidate_hit_rate,0.01912698412698412,0.017698412698412706,0.020793650793650774,10,1.0,0.0,0.0,0.0,0.0
asset_coverage,-0.03666666666666666,-0.05666666666666666,-0.016666666666666663,10,0.0002,0.0004,0.0044,0.0028,0.0008800000000000001
mean_latency_ms,0.5412430319651438,0.3971867310287458,0.6745156764930773,10,1.0,0.0,0.0,0.0,0.0
duration_seconds,27.364200819996768,19.102966748739927,35.611760686501434,10,1.0,0.0,0.0,0.0,0.0
