campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,tau
v8_exp7_softmax,softmax,42,nivel2,50000,1.0084227404738684,0.060159484480423006,0.2630651091151852,0.20168454809477368,0.9666666666666667,0.1992063492063492,0.46984126984126984,1.0,0.7453656349233435,18.0,0.13588807288786553,0.1159661138996674,50000,2026-07-20T21:38:38Z,55.92319550000002,0.5
v8_exp7_momentum_refresh,momentum_refresh,42,nivel2,50000,1.4932568612693204,0.08119021075021554,0.1938698768002982,0.2986513722538642,1.0,0.18253968253968253,0.41904761904761906,6.0,0.7199418253974958,-1.0,0.32365303116887123,0.0499436016804178,50000,2026-07-20T21:39:33Z,55.00857730000007,1.0
v8_exp7_thompson,thompson,42,nivel2,50000,1.1049100944428019,0.05209389837881726,0.40822145755900185,0.22098201888856034,1.0,0.19206349206349208,0.46190476190476193,6.0,0.7216166666699748,19.0,0.20939674832432809,0.10030059398722482,50000,2026-07-20T21:40:29Z,54.965592100000094,1.0
v8_exp7_softmax,softmax,123,nivel2,50000,0.575314138875169,0.03074729996599107,0.4685558122136573,0.11506282777503377,0.9666666666666667,0.17936507936507937,0.4531746031746032,4.0,0.7567946825361105,12.0,0.11753512442233825,0.11932843376487678,50000,2026-07-20T21:41:25Z,56.0473128000001,0.5
v8_exp7_momentum_refresh,momentum_refresh,123,nivel2,50000,0.7594810659162821,0.03711012619303398,0.2587030872680486,0.15189621318325647,1.0,0.18253968253968253,0.4087301587301587,6.0,0.7105558730207425,21.0,0.2862561332616141,0.09795279406461439,50000,2026-07-20T21:42:20Z,54.61451009999996,1.0
v8_exp7_thompson,thompson,123,nivel2,50000,0.05668206825429867,0.002530738922521032,0.3943514761402909,0.011336413650859694,0.9666666666666667,0.16587301587301587,0.4666666666666667,1.0,0.7216884127050406,9.0,0.22192210360231615,0.1348264304058564,50000,2026-07-20T21:43:15Z,54.786002099999905,1.0
v8_exp7_softmax,softmax,456,nivel2,50000,-0.04324737842027404,-0.00238149347925543,0.6284189441530268,-0.008649475684054766,0.9666666666666667,0.15873015873015872,0.4753968253968254,7.0,0.7537309523842042,4.0,0.1372633026080188,0.10148721518492922,50000,2026-07-20T21:44:11Z,56.118360400000256,0.5
v8_exp7_momentum_refresh,momentum_refresh,456,nivel2,50000,0.3141251401648155,0.01575037778429934,0.6113389368653315,0.06282502803296303,0.9666666666666667,0.16746031746031745,0.3865079365079365,5.0,0.7195784127004247,22.0,0.3498657381522732,0.11453508660981694,50000,2026-07-20T21:45:06Z,54.51942079999981,1.0
v8_exp7_thompson,thompson,456,nivel2,50000,-0.4472604871312916,-0.018857512367541126,0.5542930074301748,-0.0894520974262584,0.9,0.1746031746031746,0.4777777777777778,14.0,0.7389934920613288,15.0,0.13882580397536626,0.10476860629781051,50000,2026-07-20T21:46:03Z,56.33946429999969,1.0
v8_exp7_softmax,softmax,789,nivel2,50000,0.32634325497824607,0.01739156823366147,0.44784978391189034,0.06526865099564924,0.9666666666666667,0.16587301587301587,0.4595238095238095,2.0,0.7302892063473828,-1.0,0.14687223469950036,0.09138163211489472,50000,2026-07-20T21:46:58Z,55.4799294999998,0.5
