model,metric,mean,std,ci_lo,ci_hi,n
A,cumulative_return,-27.933929798122723,1.0997962339804304,-29.019955006482174,-26.820861327046256,3
A,sharpe_ratio,-1.0512359051865434,0.011141020291052397,-1.061512911315282,-1.03939593273867,3
A,max_drawdown,27.920717265187232,1.0992246926145497,26.8060469965562,29.003816195352243,3
A,mean_reward,-5.5867859596245415,0.21995924679608617,-5.803991001296432,-5.364172265409248,3
A,episodes_to_convergence,nan,nan,nan,nan,0
A,train_reward_last,-6.976773386473378,0.3606478285544702,-7.3830313137094805,-6.694380757412553,3
A,topm_hit_rate,0.20555555555555557,0.0020998026278290483,0.203968253968254,0.20793650793650795,3
A,candidate_hit_rate,1.0,0.0,1.0,1.0,3
A,asset_coverage,1.0,0.0,1.0,1.0,3
A,mean_latency_ms,0.37634957676615427,0.026333596487766526,0.34774873016027,0.3995915874030389,3
A,duration_seconds,4.175358599997708,1.69284481589024,3.09039679999114,6.125982600002317,3
B,cumulative_return,-27.933929798122723,1.0997962339804304,-29.019955006482174,-26.820861327046256,3
B,sharpe_ratio,-1.0512359051865434,0.011141020291052397,-1.061512911315282,-1.03939593273867,3
B,max_drawdown,27.920717265187232,1.0992246926145497,26.8060469965562,29.003816195352243,3
B,mean_reward,-5.5867859596245415,0.21995924679608617,-5.803991001296432,-5.364172265409248,3
B,episodes_to_convergence,nan,nan,nan,nan,0
B,train_reward_last,-6.976773386473378,0.3606478285544702,-7.3830313137094805,-6.694380757412553,3
B,topm_hit_rate,0.20555555555555557,0.0020998026278290483,0.203968253968254,0.20793650793650795,3
B,candidate_hit_rate,1.0,0.0,1.0,1.0,3
B,asset_coverage,1.0,0.0,1.0,1.0,3
B,mean_latency_ms,0.35190383609410164,0.04608680423454344,0.31121317470457316,0.401950952615903,3
B,duration_seconds,3.1014179333287757,0.5012125792599189,2.7486551999900257,3.6751440999942133,3
C,cumulative_return,-24.60316282135081,0.5029969514025734,-25.182799872393627,-24.281381819171987,3
C,sharpe_ratio,-1.2458586327377856,0.03452007718517231,-1.2843995255943768,-1.2177799281256703,3
C,max_drawdown,24.591592702940556,0.4990102554330581,24.27269736198549,25.166661061263664,3
C,mean_reward,-4.920632564270158,0.10059939028051383,-5.03655997447872,-4.856276363834395,3
C,episodes_to_convergence,nan,nan,nan,nan,0
C,train_reward_last,-6.291789777369153,0.5027334694225698,-6.846738337011373,-5.866785794128959,3
C,topm_hit_rate,0.20052910052910056,0.004849286449688717,0.19523809523809524,0.20476190476190478,3
C,candidate_hit_rate,0.5097883597883598,0.0077896464890663515,0.5007936507936508,0.5142857142857142,3
C,asset_coverage,0.9333333333333332,1.3597399555105182e-16,0.9333333333333332,0.9333333333333332,3
C,mean_latency_ms,0.6449918254999575,0.05047453026412962,0.6123042063596326,0.7031246033702269,3
C,duration_seconds,4.61489513333557,0.20749150340329955,4.379043900000397,4.769336099998327,3
D,cumulative_return,-26.00998766167304,0.7502906844875221,-26.858809269202524,-25.435368601903335,3
D,sharpe_ratio,-1.2434658954581834,0.02669992493493086,-1.2736107748551353,-1.222794288309241,3
D,max_drawdown,25.985809909905388,0.754685419487799,25.41992934250287,26.842670458072565,3
D,mean_reward,-5.201997532334605,0.15005813689750402,-5.371761853840501,-5.087073720380663,3
D,episodes_to_convergence,nan,nan,nan,nan,0
D,train_reward_last,-6.6335745806144715,0.377632880290328,-6.883234677747206,-6.314293880122594,3
D,topm_hit_rate,0.1955026455026455,0.009266814755628034,0.1873015873015873,0.20555555555555557,3
D,candidate_hit_rate,0.49973544973544975,0.00616464560726508,0.4928571428571429,0.5047619047619047,3
D,asset_coverage,0.9333333333333332,1.3597399555105182e-16,0.9333333333333332,0.9333333333333332,3
D,mean_latency_ms,1.134533756541916,0.14501710559870085,1.0151057937210204,1.295897539666695,3
D,duration_seconds,7.219600766664371,0.10263051363604336,7.106469599995762,7.306728199997451,3
