selector,seed,precision_at_m,ndcg_at_m,candidate_hit,rotation_realized,n_steps
D,42,0.1791005291005291,0.40437102760690463,0.4388888888888889,0.44597609561753065,1260
D,123,0.18888888888888886,0.41490536622754953,0.4579365079365079,0.45147410358565804,1260
D,456,0.18703703703703703,0.4120907050377474,0.4587301587301587,0.46605577689243055,1260
D,789,0.187037037037037,0.4121045830303459,0.45476190476190476,0.4586454183266936,1260
D,1024,0.18597883597883597,0.4125466741015697,0.4515873015873016,0.4509960159362556,1260
D,7,0.17857142857142858,0.40104063055218947,0.4380952380952381,0.4512350597609568,1260
D,99,0.18650793650793648,0.4147524128894691,0.45396825396825397,0.4555378486055783,1260
D,314,0.18521462639109695,0.40908666711731045,0.4523052464228935,0.45857940941739855,1258
D,1729,0.1751322751322751,0.3985945406722535,0.43253968253968256,0.4434262948207179,1260
D,65535,0.1828042328042328,0.4112420994308986,0.44682539682539685,0.4483665338645425,1260
C,42,0.17195767195767195,0.40375551341673666,0.41984126984126985,0.43171314741035915,1260
C,123,0.17751322751322748,0.406814670119441,0.43333333333333335,0.4318725099601601,1260
C,456,0.17777777777777778,0.40657384615017733,0.4365079365079365,0.44175298804780927,1260
C,789,0.17830687830687827,0.40699621087497856,0.4365079365079365,0.43952191235059807,1260
C,1024,0.17671957671957672,0.4056409739466153,0.43333333333333335,0.4323505976095623,1260
C,7,0.17169312169312168,0.4021441229536755,0.42142857142857143,0.43585657370517983,1260
C,99,0.176984126984127,0.4066351078448936,0.43412698412698414,0.43593625498008026,1260
C,314,0.17726550079491257,0.40620138320148735,0.4332273449920509,0.43719074221867577,1258
C,1729,0.16957671957671958,0.4038023990024987,0.4166666666666667,0.43625498007968166,1260
C,65535,0.17539682539682538,0.4076686936759621,0.42936507936507934,0.4322709163346621,1260
R,42,0.1841269841269841,0.41308536280305325,0.45396825396825397,0.8047011952191154,1260
R,123,0.1886243386243386,0.40500224697746223,0.4650793650793651,0.8124302788844529,1260
R,456,0.18756613756613755,0.41012215096875837,0.45476190476190476,0.8065338645418239,1260
R,789,0.18439153439153438,0.4124726260319593,0.45555555555555555,0.8095617529880386,1260
R,1024,0.18201058201058198,0.4055943772799789,0.4365079365079365,0.8085258964143334,1260
R,7,0.1796296296296296,0.40249617059303505,0.44047619047619047,0.8015936254979994,1260
R,99,0.19047619047619047,0.4140814100605834,0.473015873015873,0.8047011952191149,1260
R,314,0.1820349761526232,0.4018451173897329,0.4451510333863275,0.806464485235427,1258
R,1729,0.19417989417989417,0.41971825855173045,0.4857142857142857,0.7993625498007887,1260
R,65535,0.18783068783068782,0.4118665359269713,0.47063492063492063,0.8022310756972024,1260
Q,42,0.1566137566137566,nan,0.3817460317460317,0.384063745019921,1260
Q,123,0.15767195767195766,nan,0.3904761904761905,0.38844621513944305,1260
Q,456,0.15820105820105818,nan,0.39365079365079364,0.4007968127490048,1260
Q,789,0.15925925925925924,nan,0.39365079365079364,0.39633466135458245,1260
Q,1024,0.15820105820105818,nan,0.39126984126984127,0.3843027888446223,1260
Q,7,0.15714285714285714,nan,0.38571428571428573,0.38725099601593704,1260
Q,99,0.15820105820105818,nan,0.39365079365079364,0.3917928286852598,1260
Q,314,0.15871754107048222,nan,0.39109697933227344,0.39321628092577887,1258
Q,1729,0.15555555555555556,nan,0.37936507936507935,0.38533864541832735,1260
Q,65535,0.15793650793650793,nan,0.3888888888888889,0.386055776892431,1260
S0.0,42,0.17248677248677247,nan,0.43174603174603177,0.22844621513944258,1260
S0.0,123,0.1751322751322751,nan,0.4380952380952381,0.2168127490039844,1260
S0.0,456,0.18333333333333332,nan,0.4523809523809524,0.21904382470119566,1260
S0.0,789,0.16772486772486772,nan,0.4119047619047619,0.22932270916334693,1260
S0.0,1024,0.17037037037037037,nan,0.4,0.23434262948207213,1260
S0.0,7,0.16534391534391532,nan,0.40793650793650793,0.23601593625498057,1260
S0.0,99,0.173015873015873,nan,0.4357142857142857,0.22693227091633503,1260
S0.0,314,0.16375198728139906,nan,0.41255961844197137,0.22418196328810897,1258
S0.0,1729,0.15740740740740738,nan,0.3976190476190476,0.22900398406374545,1260
