campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds
campaign_1,A,42,nivel1,50000,-27.14962557068462,-1.240401601412272,27.132424547135905,-5.429925114136922,1.0,0.20952380952380953,1.0,6.0,0.46652309540640713,6.0,-6.41917991181527,-6.185996917417521,50000,2026-05-12T03:26:59Z,37.159206399999675
campaign_1,A,123,nivel1,50000,-25.600377923980894,-1.259711319962576,25.584339425294736,-5.120075584796174,1.0,0.22063492063492063,1.0,5.0,0.34797634927801685,7.0,-5.685996904819874,-6.354901307766004,50000,2026-05-12T03:27:29Z,29.859209200003534
campaign_1,A,456,nivel1,50000,-22.636670947238706,-1.2555644839732882,22.619790045975943,-4.527334189447738,1.0,0.20238095238095238,1.0,3.0,0.4624186507874309,8.0,-5.832706821717487,-6.275986561726683,50000,2026-05-12T03:28:05Z,36.13313770000241
campaign_1,A,789,nivel1,50000,-23.546814019001665,-1.1507101667219493,23.52209195820775,-4.709362803800332,1.0,0.1984126984126984,1.0,4.0,0.5166043649152261,6.0,-7.000764451085355,-6.482612172581242,50000,2026-05-12T03:28:47Z,41.05730300000869
campaign_1,A,1024,nivel1,50000,-24.329080334272774,-1.183684106016643,24.31288942393351,-4.865816066854551,1.0,0.21825396825396826,1.0,1.0,0.4724544443542116,7.0,-5.350377056514333,-6.218429033632833,50000,2026-05-12T03:29:28Z,41.614188000006834
campaign_1,B,42,nivel1,50000,-27.14962557068462,-1.240401601412272,27.132424547135905,-5.429925114136922,1.0,0.20952380952380953,1.0,6.0,0.4903988095484526,6.0,-6.41917991181527,-6.185996917417521,50000,2026-05-12T03:30:08Z,40.155836799996905
campaign_1,B,123,nivel1,50000,-25.600377923980894,-1.259711319962576,25.584339425294736,-5.120075584796174,1.0,0.22063492063492063,1.0,5.0,0.4664630949495375,7.0,-5.685996904819874,-6.354901307766004,50000,2026-05-12T03:30:49Z,40.06304609999643
campaign_1,B,456,nivel1,50000,-22.636670947238706,-1.2555644839732882,22.619790045975943,-4.527334189447738,1.0,0.20238095238095238,1.0,3.0,0.5054269842817337,8.0,-5.832706821717487,-6.275986561726683,50000,2026-05-12T03:31:28Z,39.518648800003575
campaign_1,B,789,nivel1,50000,-23.546814019001665,-1.1507101667219493,23.52209195820775,-4.709362803800332,1.0,0.1984126984126984,1.0,4.0,0.4672596827731468,6.0,-7.000764451085355,-6.482612172581242,50000,2026-05-12T03:32:09Z,41.01086039999791
campaign_1,B,1024,nivel1,50000,-24.329080334272774,-1.183684106016643,24.31288942393351,-4.865816066854551,1.0,0.21825396825396826,1.0,1.0,0.3811838095157688,7.0,-5.350377056514333,-6.218429033632833,50000,2026-05-12T03:32:49Z,39.99574739999662
campaign_1,C,42,nivel1,50000,-26.364167377353564,-1.275201865467074,26.358908081241875,-5.272833475470709,0.9333333333333333,0.1865079365079365,0.5007936507936508,1.0,0.7329373016892489,6.0,-6.460450239281099,-5.9552515623798055,50000,2026-05-12T03:33:38Z,48.33139459999802
campaign_1,C,123,nivel1,50000,-23.447677729574384,-1.2074059156223615,23.43779064266009,-4.689535545914874,0.9333333333333333,0.19285714285714287,0.5142857142857142,17.0,0.9603743650326838,6.0,-5.807562240181824,-6.1665123690618024,50000,2026-05-12T03:34:30Z,51.831549099995755
