campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,variant
variant_R_v6,R,42,nivel2,50000,1.5395924358398685,0.0882323604770232,0.2519658526652757,0.30791848716797376,1.0,0.19047619047619047,0.45396825396825397,1.0,0.7805975398653009,-1.0,0.2609219961625851,0.08380013769118604,50000,2026-06-10T00:56:10Z,53.29687299998477,R
variant_R_v6,R,123,nivel2,50000,0.43566596258852963,0.021160065543453118,0.43819806625295943,0.08713319251770593,1.0,0.19285714285714287,0.4650793650793651,6.0,0.7026172228275783,9.0,0.09810121723124086,0.08258326439278801,50000,2026-06-10T00:57:05Z,55.07964219999849,R
variant_R_v6,R,456,nivel2,50000,1.1098852083900663,0.05627088372981461,0.24599575150092687,0.22197704167801335,1.0,0.19365079365079366,0.45476190476190476,27.0,0.7353672216783115,2.0,0.05489136831544145,0.09155462718951014,50000,2026-06-10T00:58:01Z,55.032159800000954,R
variant_R_v6,R,789,nivel2,50000,0.5568266620076716,0.028102814423626325,0.3983077445236761,0.11136533240153432,0.9666666666666667,0.17857142857142858,0.45555555555555555,15.0,0.7032173811153154,3.0,0.2095851108690914,0.06477913887124291,50000,2026-06-10T00:58:56Z,55.471321799996076,R
variant_R_v6,R,1024,nivel2,50000,0.9006038206366536,0.04635178297039153,0.28331275151174434,0.1801207641273307,1.0,0.18253968253968253,0.4365079365079365,11.0,0.7448405551720441,13.0,0.2211855225322777,0.11669982344917022,50000,2026-06-10T00:59:51Z,54.45694219999132,R
variant_R_v6,R,7,nivel2,50000,1.2016553660352054,0.06297939839583126,0.22867306078802074,0.24033107320704108,1.0,0.18412698412698414,0.44047619047619047,4.0,0.7833564284420202,-1.0,0.06872143205818317,0.07371503885237214,50000,2026-06-10T01:00:49Z,57.657479399989825,R
variant_R_v6,R,99,nivel2,50000,0.6562228657913014,0.03652614388302566,0.322271799117758,0.13124457315826027,1.0,0.19206349206349208,0.473015873015873,5.0,0.6999052380071213,3.0,0.201521981141232,0.11665401033419749,50000,2026-06-10T01:01:42Z,53.48188949999167,R
variant_R_v6,R,314,nivel2,50000,0.8930019853437783,0.04836393440381307,0.32248690471238006,0.17860039706875575,0.9666666666666667,0.18888888888888888,0.4444444444444444,1.0,0.7453269844446035,18.0,0.19161436499989637,0.10372997792638959,50000,2026-06-10T01:02:39Z,56.206811599986395,R
variant_R_v6,R,1729,nivel2,50000,0.9115389926060534,0.04907971402121159,0.21713204477037928,0.1823077985212107,1.0,0.19285714285714287,0.4857142857142857,18.0,0.8092281749538545,13.0,0.17635015167182289,0.13372258539400417,50000,2026-06-10T01:03:36Z,56.93923829999403,R
variant_R_v6,R,65535,nivel2,50000,0.6591953947114626,0.03370386924358646,0.3146636179582395,0.13183907894229246,1.0,0.1746031746031746,0.47063492063492063,7.0,0.7486100796201739,8.0,0.07928393800100271,0.1108821301067506,50000,2026-06-10T01:04:34Z,57.76733470000909,R
