contraste,muestra,n,mean_diff,ci_lo,ci_hi,p_two_sided,B,rng_seed
D-C,con_respaldos,10,0.01912698412698412,0.017698412698412713,0.020793650793650774,0.0,5000,20260705
D-C,sin_respaldos,10,0.01912698412698412,0.017698412698412703,0.020793650793650774,0.0,5000,20260705
