model,metric,mean,std,ci_lo,ci_hi,n
A,cumulative_return,-24.652513759035735,1.7695209247351822,-25.96581746472076,-23.3392100533507,5
A,sharpe_ratio,-1.2180143356173458,0.04836904389676669,-1.2541906418568,-1.1782000036183506,5
A,max_drawdown,24.634307080109572,1.770717580803291,23.31877316422765,26.10074100498204,5
A,mean_reward,-4.930502751807144,0.3539041849470364,-5.223842746201454,-4.667842010670138,5
A,episodes_to_convergence,6.8,0.8366600265340756,6.2,7.404999999999996,5
A,train_reward_last,-6.0578050291904635,0.653668321477457,-6.556048163558663,-5.58109094887718,5
A,topm_hit_rate,0.2098412698412698,0.00966495931960057,0.20222222222222222,0.21651984126984128,5
A,candidate_hit_rate,1.0,0.0,1.0,1.0,5
A,asset_coverage,1.0,0.0,1.0,1.0,5
A,mean_latency_ms,0.45319538094825856,0.06270038292511682,0.3957604285951386,0.4957509681879032,5
A,duration_seconds,37.16460886000423,4.727172736520194,33.46220623500398,40.500437680006144,5
B,cumulative_return,-24.652513759035735,1.7695209247351822,-25.96720721500574,-23.313634702052333,5
B,sharpe_ratio,-1.2180143356173458,0.04836904389676669,-1.2541906418568,-1.1782758180311559,5
B,max_drawdown,24.634307080109572,1.770717580803291,23.31933068646018,25.94928347375896,5
B,mean_reward,-4.930502751807144,0.3539041849470364,-5.223842746201454,-4.662726940410463,5
B,episodes_to_convergence,6.8,0.8366600265340756,6.2,7.4,5
B,train_reward_last,-6.0578050291904635,0.653668321477457,-6.62222758356273,-5.58109094887718,5
B,topm_hit_rate,0.2098412698412698,0.00966495931960057,0.20237698412698413,0.21746031746031744,5
B,candidate_hit_rate,1.0,0.0,1.0,1.0,5
B,asset_coverage,1.0,0.0,1.0,1.0,5
B,mean_latency_ms,0.4621464762137279,0.048143348956412334,0.4202380012346631,0.49340444449510884,5
B,duration_seconds,40.14882789999829,0.5410792480074558,39.75462936650081,40.618274939997356,5
C,cumulative_return,-24.169777273802982,1.5939774617998197,-25.53877937085177,-23.0143294073066,5
C,sharpe_ratio,-1.2473563170374584,0.03183150686848972,-1.2713843308097756,-1.2231674719910877,5
C,max_drawdown,24.153926837304198,1.5994369842894918,23.025134340847682,25.528701963643112,5
C,mean_reward,-4.833955454760594,0.3187954923599638,-5.065397937706221,-4.597158712182609,5
C,episodes_to_convergence,6.2,0.4472135954999579,6.0,6.6,5
C,train_reward_last,-6.1006595462568045,0.593232326200275,-6.54995734723077,-5.660043208933723,5
C,topm_hit_rate,0.19571428571428573,0.01465140413868486,0.1846031746031746,0.2068253968253968,5
C,candidate_hit_rate,0.5106349206349206,0.006289400874971096,0.5052380952380953,0.5149206349206349,5
C,asset_coverage,0.9333333333333333,0.0,0.9333333333333333,0.9333333333333333,5
C,mean_latency_ms,0.7956490794493307,0.1210509567078909,0.7085830318655575,0.8999861270121837,5
C,duration_seconds,54.85497635999927,7.735140005993578,49.050251279998335,61.13282023649699,5
D,cumulative_return,-25.171953486896022,1.6106019043716517,-26.562044520604495,-23.89742436979754,5
D,sharpe_ratio,-1.2282538252970272,0.02159677863009015,-1.2448810476310108,-1.212567893163852,5
D,max_drawdown,25.147846966528324,1.6203076081933272,23.84058537811552,26.552003424503486,5
D,mean_reward,-5.0343906973792025,0.3221203808743311,-5.311411214613462,-4.77263787166501,5
D,episodes_to_convergence,6.4,0.5477225575051661,6.0,6.8,5
D,train_reward_last,-6.1907692627518385,0.5227289357954856,-6.622364324437926,-5.815859266694114,5
D,topm_hit_rate,0.2011111111111111,0.015618999225631574,0.18857142857142856,0.21301587301587302,5
D,candidate_hit_rate,0.5001587301587301,0.00443309207738695,0.4963492063492064,0.5031746031746032,5
D,asset_coverage,0.8800000000000001,0.029814239699997188,0.8666666666666668,0.9066666666666666,5
D,mean_latency_ms,1.1073923492222093,0.20459499830017172,0.9571968411263596,1.2707972223570176,5
D,duration_seconds,76.96721499999985,11.929468103457804,67.98947836000298,85.98749471999763,5
