campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,fold_id,train_end_year,test_year,filter_start,filter_end,train_frac
walk_fwd_fold1,C,42,nivel2,50000,0.22704075801543644,0.05802862340288859,0.19768921213843438,0.045408151603087296,0.8666666666666667,0.224,0.756,1.0,1.1204171996796504,-1.0,0.12391607193510437,0.05390765983611061,50000,2026-05-12T23:21:48Z,76.33458759999485,1,2020,2021,2018-01-02,2021-12-31,0.75
walk_fwd_fold1,C,123,nivel2,50000,0.4504944358304738,0.12130829046880737,0.09423535695287055,0.09009888716609475,0.8666666666666667,0.236,0.756,1.0,1.1163279981119558,22.0,0.17218553994316219,0.0753159730782581,50000,2026-05-12T23:23:04Z,76.01159519999055,1,2020,2021,2018-01-02,2021-12-31,0.75
walk_fwd_fold1,C,456,nivel2,50000,-0.0596129076478423,-0.017121796533637584,0.29469899184922976,-0.01192258152956847,0.6666666666666666,0.164,0.64,2.0,1.0698412001365796,19.0,0.10856342474901015,0.07941538228800128,50000,2026-05-12T23:24:17Z,72.44262220000383,1,2020,2021,2018-01-02,2021-12-31,0.75
walk_fwd_fold1,D,42,nivel2,50000,0.1947880313742137,0.048607330297437294,0.14735057182592903,0.038957606274842724,0.4666666666666667,0.196,0.648,2.0,2.505785599933006,17.0,0.10730825473841414,0.06457018982457984,50000,2026-05-12T23:26:45Z,147.46473209999385,1,2020,2021,2018-01-02,2021-12-31,0.75
walk_fwd_fold1,D,123,nivel2,50000,0.027814637455580625,0.0075559434501338285,0.1611478978396199,0.005562927491116115,0.5333333333333333,0.18,0.652,2.0,2.4473264003172517,22.0,0.1317808647722977,0.07689877207355668,50000,2026-05-12T23:29:08Z,143.4562644000107,1,2020,2021,2018-01-02,2021-12-31,0.75
walk_fwd_fold1,D,456,nivel2,50000,0.08215947458491293,0.02194246442259264,0.1588048919594453,0.016431894916982603,0.5333333333333333,0.176,0.68,16.0,2.579165999777615,20.0,0.07156387758223019,0.06490272826926664,50000,2026-05-12T23:31:27Z,138.1264046000142,1,2020,2021,2018-01-02,2021-12-31,0.75
walk_fwd_fold2,C,42,nivel2,50000,-0.04302534385820121,-0.007127906589049303,0.28333322356642704,-0.00860506877164024,0.8,0.188,0.604,2.0,0.99486439966131,22.0,0.07716985508854947,0.049132441977721555,50000,2026-05-12T23:32:35Z,68.11492310001631,2,2021,2022,2018-01-02,2022-12-31,0.8
walk_fwd_fold2,C,123,nivel2,50000,0.19950558365640594,0.03597031440870273,0.20204536184935556,0.039901116731281196,0.9,0.188,0.576,9.0,0.9812215997371823,18.0,0.14243220911216814,0.06271003714003968,50000,2026-05-12T23:33:49Z,73.8237400999933,2,2021,2022,2018-01-02,2022-12-31,0.8
walk_fwd_fold2,C,456,nivel2,50000,0.1451879766482096,0.02794580397927773,0.2317102665681809,0.029037595329641903,0.6666666666666666,0.272,0.608,1.0,0.9711367989657447,21.0,0.0984220405637283,0.05911492041536662,50000,2026-05-12T23:35:05Z,75.45142739999574,2,2021,2022,2018-01-02,2022-12-31,0.8
walk_fwd_fold2,D,42,nivel2,50000,-0.08543533224544575,-0.012906656702319679,0.3875565944412865,-0.017087066449089118,0.5333333333333333,0.14,0.52,4.0,2.302150799543597,12.0,0.061419224721759084,0.06440497674910245,50000,2026-05-12T23:37:28Z,143.2790212999971,2,2021,2022,2018-01-02,2022-12-31,0.8
