campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds
mini,A,42,smoke_train,1024,-3.863109578129211,-1.5184753826989248,3.848549529940196,-0.7726219156258421,1.0,0.34,0.985,3.0,0.31815249916689936,-1.0,-0.7494483263167118,-0.7494483263167118,1024,2026-05-12T02:29:39Z,2.5985368999972707
mini,A,123,smoke_train,1024,-3.8015056546791937,-1.4638508316768317,3.7815917816958855,-0.7603011309358388,1.0,0.345,0.99,3.0,0.356748999474803,-1.0,-0.7743084712361011,-0.7743084712361011,1024,2026-05-12T02:29:41Z,1.056194200005848
mini,A,456,smoke_train,1024,-3.487444360485036,-1.239577986867949,3.4754167168175014,-0.6974888720970072,1.0,0.385,0.995,1.0,0.307137000199873,-1.0,-0.7588396010348716,-0.7588396010348716,1024,2026-05-12T02:29:42Z,1.0481256000057328
mini,B,42,smoke_train,1024,-3.863109578129211,-1.5184753826989248,3.848549529940196,-0.7726219156258421,1.0,0.34,0.985,3.0,0.31584450021910015,-1.0,-0.7494483263167118,-0.7494483263167118,1024,2026-05-12T02:29:43Z,1.05912740000349
mini,B,123,smoke_train,1024,-3.8015056546791937,-1.4638508316768317,3.7815917816958855,-0.7603011309358388,1.0,0.345,0.99,3.0,0.38736000075004995,-1.0,-0.7743084712361011,-0.7743084712361011,1024,2026-05-12T02:29:44Z,1.117760900000576
mini,B,456,smoke_train,1024,-3.487444360485036,-1.239577986867949,3.4754167168175014,-0.6974888720970072,1.0,0.385,0.995,1.0,0.3272064992052037,-1.0,-0.7588396010348716,-0.7588396010348716,1024,2026-05-12T02:29:45Z,1.0595232999912696
mini,C,42,smoke_train,1024,-4.185807994148634,-1.5882378083492434,4.175383316679798,-0.8371615988297268,0.8333333333333334,0.46,0.865,3.0,0.6121179996989667,-1.0,-0.7220822749529282,-0.7220822749529282,1024,2026-05-12T02:29:47Z,1.66217169999436
mini,C,123,smoke_train,1024,-4.133792565541782,-1.3247946108580804,4.113878692558473,-0.8267585131083564,1.0,0.345,0.89,3.0,0.6307374998141313,-1.0,-0.7228492802371608,-0.7228492802371608,1024,2026-05-12T02:29:48Z,1.6665856000036001
mini,C,456,smoke_train,1024,-3.447699485002734,-1.1027389533657763,3.4345140525891407,-0.6895398970005469,1.0,0.475,0.925,2.0,0.6017939996672794,-1.0,-0.7287150699494968,-0.7287150699494968,1024,2026-05-12T02:29:50Z,1.6612529999983963
mini,D,42,smoke_train,1024,-3.326793894773699,-1.2589519789843844,3.298314697990545,-0.6653587789547399,0.8333333333333334,0.405,0.82,1.0,0.856120500684483,-1.0,-0.7447181764763668,-0.7447181764763668,1024,2026-05-12T02:29:52Z,2.150963699998101
mini,D,123,smoke_train,1024,-3.6590102910659024,-1.4284812363429094,3.639096418082594,-0.7318020582131805,0.8333333333333334,0.415,0.835,3.0,0.7859125002869405,-1.0,-0.7759243051815818,-0.7759243051815818,1024,2026-05-12T02:29:54Z,2.106221399997594
mini,D,456,smoke_train,1024,-2.922491201124912,-0.8800984920048225,2.9104635574573785,-0.5844982402249823,0.8333333333333334,0.51,0.87,1.0,0.7891660003224388,-1.0,-0.7904846429930492,-0.7904846429930492,1024,2026-05-12T02:29:57Z,2.0544861999951536
